,PageNo,Text 
0,page_0,"Reducing Inequities in Care of Hypertension: Lifestyle Improvement for Everyone (The RICH LIFE Project): Study Protocol A study to compare the effectiveness of health systems versus multilevel interventions to reduce hypertension disparities NCT02674464 PRINCIPAL INVESTIGATORS: LISA A. COOPER, MD, MPH JILL MARSTELLER, PHD, MPP September 2015 – August 2022 October 15, 2021" 
1,page_1,JHU Protocol | 10.15.21 1 Table of Contents 1. Background/Significance .........................................................................3 2. Objectives ................................................................................................8 3. Design ......................................................................................................12 4. Recruitment of practices ..........................................................................18 5. Recruitment of participants ......................................................................24 6. Interventions ............................................................................................29 7. Measurements ..........................................................................................61 8. Analysis....................................................................................................65 9. Quality Contro l and Quality Assurance ...................................................69 10. Ethics ........................................................................................................72 11. Data Handling and Recordkeeping ..........................................................76 12. Publication Policy ....................................................................................77 13. Ancillary S tudies ......................................................................................81 14. Appendices ( separate document ) 
49,page_49,"JHU Protocol | 10.15.21 49 ii. Patient continues to expe rience barriers to care and food insecurity iii. Patient is willing to work with a CHW c) For both CHW and specialist consultation, exceptions may be made to the timing of the initial referral by special request from the patient and/or PCP, or for extenuating circ umstances found to prevent successful achievement and management of BP control. In these situations, referral may occur immediately or at 1 month instead of at 3 months. d) The CM may make an immediate referral to a CHW if The CM may deploy a CHW prior to one month if the patient is willing to work with a CHW AND at least one of the following conditions is met: i. Cardiac event in the last 12 months, with no follow-up appointment ii. Inability to perform activities of daily living with no resources iii. No access to transportation iv. Utility shut offs v. Food insecurity vi. Domestic violence vii. Poor/unstable housing viii. Special request from the patient and/or the PCP b. Ongoing patient assessment i. CHWs conduct monthly assessments of patients’ needs in order to monitor psychosocial status a s well as progress on addressing social determinants affecting self-management of chronic conditions 2. Longitudinal Engagement a. Initiation of longitudinal patient engagement i. Purpose of initial engagement: to review problems identified at baseline, review patient’s progress with care plan developed with Care Manager, review patient’s barriers to care, and to begin to implement appropriate interventions as guided by the Care Manager (coaching, empowerment, reinforcement of education, etc.) ii. Procedures: a) CHWs initiate engagement with patients upon notification from the Care Manager that the patient requires CHW services. b) CHW conducts the baseline home visit if the patient is willing to have a visit in his/her home. Otherwise the CHW arrange s a mutually convenient l ocation to meet the patient. i. Purpose of baseline home visit: to support patient’s self-management of hypertension and to build rapport and trust with the patient and his/her family. ii. CHW to give patient individual home BP monitor and personal logbook iii. CHW review s hypertension self- management education materials iv. CHW review s patient’s medications v. CHW review s his/her role in helping patient achieve BP control vi. CHW assesses whether patient has any immediate needs to liaise with patient’s care team vii. CHW reinforce s other behaviors to support BP management b. Ongoing patient engagement i. Purpose of ongoing engagement: to monitor patient’s progress with care plans; elicit and address patient’s concerns regarding treatment; coach patients on communication"
50,page_50,"JHU Protocol | 10.15.21 50 with providers; rein force health education provided by Care Manager; model facilitative communication; and facilitate patient and family empowerment ii. CHWs contact patients via biweekly telephone calls and in -person visits (whether at home or at a location based on patient’s preference) and to carry out monthly appraisal/assessment of patient’s status with barriers and facilitators to care iii. CHWs document all intervention activities in care management database, which will interface with the health system’s electronic health recor d iv. Face- to-face interactions with patients a) CHWs schedule face- to-face interactions with patients (home visits, visits at neutral locations, face- to-face contact after visits with members of care team) b) The frequency of face- to-face interactions is determine d in conjunction with study team, care team, and patient v. Per confirmation from patients regarding level of desired interaction with/involvement from family members/caregivers, CHWs engage with members of patients’ caregiving networks to support their adherence to antihypertensive regimens a) CHWs share upcoming appointments with providers on an as-needed/as-desired basis c. Patient -initiated telephone calls or in -person visits to CHW i. CHWs use open -ended questions to ascertain patient’s needs ii. CHW strategize s with patients on ways to obtain any needed assistance d. Strategies to contact hard -to-reach patients i. To be employed when CHWs encounter difficulty reaching patients a) Make at least 4 phone attempts within 1 months of referral (1 attempt per week). b) Send a “trying to reach you” letter. c) Attempt a home visit if there is no response to the letter within 2 weeks. d) If the home visit cannot be done, review REDCap to see if the patient has provided an alternative contact with their information, and attempt to reach alternative contacts over the phone until at least one alternative contact provides updated information for the patient or until all alternative contacts are called). e) Attempt an additional 4 phone contacts with the patient. f) Work with the CM to identify upcoming patient visits and coordinate meeting the patient at the visit, including at other practice locations. D. Barrier Identification and Mitigation 1. Purpose: to identify and address the array of proximal social/cultural/structural factors affecting patients’ self -management of hypertension 2. Barrier Identification Procedures a. CHW follows a prepared script to assess patients’ self -identified barriers and facilitators to key behaviors targeted in the study (done on a scheduled, quarterly basis) b. CHW also receive s instructions from the CM regarding patients’ identified stressors 3. Barrier Mitigation a. CHWs use community resource guides and to identify resources and will provide a list of those resources to the patient. b. CHWs follow up with patients to find out whether or not they contacted the organizations found through the resource guides i. If patient followed up: CHW work s with patient to develop next steps ii. If patient did not follow up: CHW follow s up with key staff at the relevant organizations"
51,page_51,"JHU Protocol | 10.15.21 51 c. CHWs provide social and emotional support to patients whose financial, relationship, and/or community stressors pose as barriers to care E. Patient Reinforcement, Coaching, and Empowerment 1. Purpose: to reinforce Care Manager interventions and to support patient’s achievement of BP control through performing motivational interviewing, modeling appropriate communication styles, eliciting patient’s concerns in a compassionate manner, and demonstrating patient -centered communication 2. Procedures: a. Care Manager alert s CHW to specific issues requ iring more intensive reinforcement b. CHW review s the “Every Heartbeat is Life” NHBLI CHW Toolkit 124 and other resources, and, with assistance from Care Manager, select materials to review with patient c. CHW engages with patient (either via telephone or in -person) and use s basic motivational interviewing and coaching skills to encourage desired attitudinal changes i. Assess patient’s progress with self -BP monitoring as well as any problems or successes patients may be having with other aspects of self -management (i .e., diet, exercise, adherence to medication, adherence to scheduled appointments, etc.) ii. Positively reinforce successful behaviors (e.g., consistent BP self -monitoring) iii. Remind patient about prior conversations and touch bases on issues discussed iv. Probe for new issues and encourage patient to discuss them with doctor during next visit v. Use structured coaching guide to: a) Ask clarifying questions about patients’ perceptions of hypertension management b) Help patient identify and articulate any concerns regarding hi s/her medical condition, medication regimen, and issues communicating with primary care provider and/or members of care team c) Identify, model, practice, and reinforce simple communication skills (question-asking, decision making, and negotiation) F. Care Team Participation 1. CHW to document all activities undertaken on patients’ behalf in case management database and electronic health records 2. CHWs liaise with members of care team through rounds, in-person meetings, and ongoing follow-up with Care Manager, PCP, a nd specialists"
52,page_52,"JHU Protocol | 10.15.21 52 Section 6C: Interventions Description: Subspecialist Consultation Core A. Approach: The subspecialist intervention engages subspecialty consultation services (see Table 8 in the Collaborative Care description) in the care of more complex patients at the 15 intensive arm practice sites. The subspecialist core includes experts in: 1. Clinical HTN 2. Preventive cardiology 3. Endocrinology 4. Psychiatry 5. Smoking cessation 6. Nephrology B. Consultation 1. For patients where the PCP or CC team leaders believe that case- specific consultation is required, we may arrange a communication with the specific subspecialist by phone or electronic communication. 2. The CM recommends patients for specialist consultation to the PCP or the PCP may request a step up to specialist consultation. CMs and PCPs decide jointly: a. Desired specialty to consult b.Urgency of response requested (2 -3 days, 1 week, 2 weeks) 3. Using a standardized referral form for each specialty, the CM reach es out to the specialist coordinator on the research team, providing the above information. Elements in the referral form include: a. PCP name b.Patient study ID number c. A password -protected file containing the following information (to be passed on a secure server, not via email): i. Patient details: Age, gend er, race and ethnicity ii. Reason for consultation iii. Duration of condition iv. Associated signs and symptoms v. Exacerbating factors vi. Medications and allergies vii. Investigations biopsy results/laboratory data, medications tried and removed from regimen viii. Diagnosis (provision al) ix. Previous therapies tried"
53,page_53,"JHU Protocol | 10.15.21 53 4. The specialist coordinator contact s the appropriate specialist, with relevant information and a link to the case file on the secure server. The specialist prepares recommendations based on the provided information. The speciali st uses a standardized response form to write up the recommendations and place on them on the secure server. 5. The specialist response form should be considered suggestions by the CM and PCP and not clinical decisions. The response form includes suggestions on: a. Follow-up plan b. Recommended tests for the referring clinician to organize and communicate with the patient c. A statement on whether or not the specialist believes the patient should be seen in person by a specialist 6. The specialist coordinator then let s the CM know that the recommendations are available. The Care Manager retrieves the recommendations, enters them into the patient’s EMR chart, and alerts the requesting physician that the recommendations are available."
54,page_54,"JHU Protocol | 10.15.21 54 Section 6C: Interventions Description: System Level Leadership Intervention A. Approach. Organizations typically afford inadequate organizational priority to the domain of health equity, leaving healthcare leaders unprepared to situate their organizations to address disparities in the deliv ery of care. For example, in our previous work with some of the same sites participating in this study, we found that larger percentages of health care personnel perceived barriers to addressing disparities than to improving safety and quality, and personnel perceived strong organizational focuses on quality and patient centeredness. This revelation exposes the need for greater concentration on health disparities. 90 The Institute of Medicine and other organizations have highlighted the need for a learning healthcare system, including in the area of health equity, but a true learning healthcare system remains elusive.89 Learning organizations are those in which people continually learn and seek to grow in order to achieve the results they envision as best.125 Members of learning organizations also recognize that they work in a system that both facilitates and constrains their choices and actions. To address CVD disparities in a comprehensive manner, system -level changes to create and support a learning system in these practices are needed. 126 System leaders play a critical role, as they are able to set appropriate tones, provide resources, guidance and rewards to employees, and create the necessary infrastructure to support a learning environment so as to improve equity in care. Few existing approaches have been designed to promote learning health care systems to reduce disparities, however, and fewer still offer system -level strategies. This System -Level Leadership intervention therefore aims to create a learn ing network through an inter-organizational approach to reduce CVD disparities. B. Description. This System -Level Leadership intervention aims to create a learning network through an inter-organizational approach to promote health equity and reduce CVD di sparities. We assume in most organization, leaders monitor financial performance and some quality indicators but do not have specific priorities around reducing CVD disparities, nor extensive exposure to improvement techniques for equity and quality. E lements of the system -level leadership intervention, then, include: 1) an introductory session during the kick- off event (baseline); 2) a quarterly 1 hour “content call” with a presentation on leading for equity and discussion among system- level leaders, comm unity organization leaders, and interested practice champions in the CC/Stepped care arm conducted via conference call/webinar; and 3) twice quarterly “coaching calls” for the system and practice level leaders, CMs, and CHWs in the CC/stepped care arm to d iscuss the interventions, while they are actively engaged in the intervention phase. As previously described, we reduced the frequency of coaching calls to once per quarter in April 2019. 1. Brief questionnaire for Leaders. Early in the UH3 phase, we used a brief web -based questionnaire to get input from system-level and community organization leaders on the design and themes to be covered in the system-level leadership’s health equity learning network. 2. Interviews with System Leaders. Also early in the UH3 phase, we conducted in -person or telephone interviews with system leaders about the mission of their organization and past efforts to reduce disparities and/or to improve quality of BP measurement and management. Additionally, we will conduct in -person or telephone interviews with system leaders at the end of the active intervention period. 3. Leadership training. We conducted an introductory presentation on Health Equity for all attendees for participating practices and from community -based organizations as a session at the baseline Kick -Off event. This covered one topic of educational content. In addition, the group participated in a “Pre -mortem” exercise, which allowed participants to imagine potential sources of failure of their efforts and to brainstorm preventive solutions. 4. Ensuing quarterly content calls show an appreciation for leaders’ existing skills and knowledge and use brief didactic presentation mixed with interactive opportunities to discuss and apply"
55,page_55,"JHU Protocol | 10.15.21 55 information to real-world circumstances. Inclusion of local community organization leaders is purposeful, to increase collaboration with and understanding of leaders who are in touch with the community and patients. Table 1 2 details examples of session topics and interactive activities, as well as the learning objectives associated with each learning session . The content call topics are modified from a workshop used previously to promote leadership in continuous learning. 5. Pre-post assessments of knowled ge, attitudes, and behaviors among participants in the health equity learning network . Surveys take no more than 15 minutes to complete, and are collected online at the beginning of the first cohort’s intervention period as well as at the end of the interv ention period. Table 12: Examples of Leadership Workshop Curriculum Session Topics Activities Learning Objectives 1 Key Understanding of Health Disparities & Health Equity  Emotional engagement using video clips  Excerpts from case studies related to health disparities, and sharing of relevant anecdotal evidence to situate the overarching aim of the SLL intervention  Some discussion around Quality Improvement (QI) and disparities reduction, including the unintended consequences of QI  Explain why health equity is important both in itself and in support of other organizational priorities to create buy-in internally and for external messaging  Describe the impact of health disparities on excess deaths, morbidity rates, costs, and lack of social justice in our society  Explain how the healthcare system contributes to health disparities (and conversely, how it could help our society achieve health equity) 2 Health Disparities and the Community  Q&A discussion (panel -style)  Describe the social determinants of health, sentiments within the community, and strategies for true community engagement  Discuss caveats in Health Disparity Work (e.g., how health care quality work can widen the disparity gap) 3 Equity, Safety, and Quality Monitoring  Review sample dashboard data  Discuss how to review the data and engage providers in how to use the information in their practice  Interact with sample dashboards  Learn to monitor and track performance, discuss possible actions to take in response to data 4 Practical Strategies to Address Health Disparities & Health Equity  Use the 4E’s implementation framework to plan how to Engage, Educate, Execute and Evaluate for four audiences: frontline workers; team leaders; senior leaders; and patients and families.  Discuss practices within seven health equity system strategies: demonstrating a commitment to health equity; using data and measurement; implementing training; using comprehensive needs assessments; building collaborative partnerships; enhancing care continuity ; and engaging patien ts and families .  Discuss seven system practices to achieve health equity for socially at-risk populations and provide examples of each practice  Discuss the use of community health workers (CHWs), a strategy for enhancing continuity of care and engaging patients in care  Describe the 4 E’s of implementation framework  Apply the 4 E’s framework to implementation of community health workers 6. Leadership collaborative learning network: Learning networks or collaboratives are a multi- site strategy to rapidly disse minate evidence-based practices and to develop new approaches to common problems in health care. We facilitate an ongoing, collaborative network among the"
56,page_56,"JHU Protocol | 10.15.21 56 system -level leaders and representatives from community organizations that are involved with the practices’ patient population. We refer to this group as the Health Equity Learning Network (HELN). All leaders participate in quarterly content conference calls (described above) throughout the length of the project (3 years). As noted above, these sessions a re webinars that commenced with the Kickoff meeting. 7. Coaching calls: As each cohort enters the intervention period (see Randomization Scheme), we invite system- level leaders and practice- level leaders from the CC/Stepped Care intervention practices to part icipate in coaching conference calls. As each cohort commences intervening on patients, each system has one call with other practices from their system only, then joins the existing quarterly general coaching calls that also feature the other health syste ms. These coaching calls allow leaders to share implementation experiences, coach their sites in the intensive intervention arm, and receive coaching from members of the research team and the community organization leaders on how to implement and support i nitiatives to reduce cardiovascular health disparities. This applies to work within their systems and relationships with community organizations outside of their systems. On a quarterly basis, the coaching calls specifically focus on dashboard and data review including promoting dashboard review at practices and strategies for action planning based on data trends. The coaching calls provide a regular opportunity for system level, practice level, and community organization leaders to regularly interact and d iscuss implementation strategies. 8. Minimizing potential contamination of SCP practices by system -level leaders. System -level leaders are in leadership roles for practices randomized to both SCP and CC/Stepped Care intervention arms. However, system -level leaders only participate in coaching calls with practice level leaders of the CC/Stepped Care practices. Practice leaders in the CC/Stepped Care arm are invited to sit in on educational content calls as well. The coaching calls provide a unique opportunity for interaction and collaboration between system- and practice -level leadership that bolsters the implementation by system- level leaders of the strategies discussed during workshop calls. Without additional coaching calls, the system level leaders’ interaction with practice sites in the SCP arm are unlikely to change in a meaningful way from baseline , minimizing the likelihood of contamination of the SCP sites. 9. Duration of the intervention. i. System -level and community organization leaders will participate in quarterly content conference calls for up to 4 years. Practice champions, care managers, and community health workers may join at their discretion. ii. System -level leaders, practice- level leaders (in the CC/Stepped Care arm only), care managers, and community health workers will participate in the coaching conference calls for at least 2 years with the option to continue participation after the 2 years."
57,page_57,"JHU Protocol | 10.15.21 57 Section 6: Interventions: Duration Intervention durations reflect the rolling implementation of interventions at the participating health systems. A. HTN Dashboard- Audit/Feedback – 2-4 years B. BP Measurement Training (with follow -up) – 4 years C. HTN Care and Control Best Practices Training – 2.5 years D. Collaborative Care Intervention – 1 year E. Step up to: Community Health Worker – 1 year F. Step up to: Subspecialist consultation core – 1 year G. System Level Leadership Intervention – 2 years for content calls. Up to 4 years for HELN. (These overlap, but do not begin at the same time.)"
58,page_58,"JHU Protocol | 10.15.21 58 Section 7: Measurements A. Primary Outcome Measures – BP control at 12 months and systolic BP change from baseline at 12 months This study will evaluate outcomes based on BP measurements that are collected by primary care providers and medical assistants using automated devices, an d entered into practices’ EMR. Although this approach deviates from the approach used in traditional clinical trials, where a small pool of highly trained research staff measure BP, it is a prerequisite of a pragmatic study to measure outcomes as they are measured in the real world. First, the measures used in this trial will resemble those used for quality improvement purposes (e.g., HEDIS measures), as these metrics also are generated from BP measurements collected from clinical records. Thus outcomes from this study will offer a closer approximation of how studied interventions will affect measures as they are currently used (where practices have access to automated devices) for health system payment, quality reporting, and policymaking. Second, using mea sures from the EMR minimizes risk for intervention bias, as having study nurses obtain traditional research-quality BP measurements would require patients to interact with health care professionals outside of expected interactions. Our proposed approach mi nimizes risk for researcher -interaction bias. To minimize variability associated with clinical BP measurements and concerns related to technique- related bias, we will employ automated measurement devices, implement a multi -pronged approach to training prac tice staff at SCP and CC/Stepped Care arms of the study in a standardized BP measurement process, identify and train a “super- user” at each site to oversee and support BP measurement at each site, and train the site staff to monitor Dashboard data for term inal digit preference on a quarterly basis. Care will be taken to consistently measure outcomes at multiple time - points and across the two study conditions to reduce internal threats to validity. (See Section 6 on interventions.) B. Other baseline measures: source and descriptions 1. Instruments to be used for patient data collection: Sources for patient data for this study include: i. EMR. The EMR data will be used to select potential patients for recruitment, obtain contact information for recruitment, and to ass ess clinical outcomes on enrolled patients. Data will be extracted just prior to recruitment and, for those enrolled, at 6 -month intervals for up to 30 months of follow- up. Data elements will include BP measures, lipid levels, HbA1c and glucose levels, and other clinical measures of interest to the research team. The EMR is a valuable source of data. First, ours is a pragmatic trial, and real - world treatment decisions are made using EMR data. This will improve the value of our findings for real- world implem entation. Second, these data elements are routinely collected when patients visit their provider. However, a major limitation of this data source is that unlike data collected at scheduled study visits, EMR data are only available if a patient visits their provider. We will minimize this limitation by only recruiting patients that have seen their provider within the 6 months preceding recruitment. We hope this will result in a patient sample with more complete follow up data. ii. Care Manager, CHW and Special ist records. The care managers, CHWs and specialists from the study’s specialist core will maintain consistent records on each patient participant with whom they interact or whose case they review. The data collected includes both quantitative and qualitative data. This information is entered in a study database. For the care managers and CHWs, three and fifteen visits, respectively, will also be audio recorded and assessed for use of motivational interviewing strategies. These data will be used in assessin g both clinical and patient- centered outcomes. iii. Telephone surveys. Our trained staff of recruiter/interviewers complete an interview with each participant at baseline, 6-, 12 -, 18-, and 24-months. These data will be used to"
59,page_59,"JHU Protocol | 10.15.21 59 assess patient -centered outcomes, including Patient Activation Measure (PAM-13), health -related quality of life, medication adherence, patient satisfaction , and patient reported adverse events. When assessing patient reported outcomes, one needs to ask patient s directly about their experiences. The validated instruments (see response to IR -4 below) are designed to accurately gather information about each patient’s experience as part of this study, and our analysis plan will allow us to assess how this changes over time. The limitations of using telephone surveys are the length of the surveys (each of the surveys takes between 45 and 90 minutes to complete) and survey fatigue on the part of the participant. iv. Claims data . 2. Instruments to be used for provider/staff data collection: We are usi ng limited surveys of providers and staff involved directly in the intervention (CMA super- users, practice cham pions, system level leaders, care managers, and community health workers ) to collect knowledge and attitudes. Attitudes surveys will be no longer than ~15 minutes in average length. Baseline is defined as the time of enrollment of patients at the practice where the respondent works. For the comparison arm, respondents will be the same except there are no Care Managers. System - and practice -level le adership surveys will assess attitudes toward the interventions. Baseline is defined as the time of enrollment. We conducted short interviews with system -level leaders to assess system values prior to the active intervention and will conduct interviews w ith leaders after the active intervention is complete. We conduct exit interviews with CMs and CHWs departing from the study to learn more about their experiences executing the study protocol and administer CM and CHW characteristic surveys, within 12 months of the first CM visit and 6 months of the first CHW visit, to measure CM and CHW attributes. We also conduct ed 30-minute in -person or telephone directed interviews with CMs. The interview focuses on assessing CMs’ involvement with the RICH LIFE subspec ialist core as a CM on the project. The interviews will be conducted by two study team members. The interview will be audiotaped based on each CM’s permission. Finally, there are frequent qualitative check -ins with CHWs and CMs to assess program utility and progress (based on the RE-AIM framework, described further below). 3. Instrument to be used for practice- level data collection i. We are using a data collection sheet to collect characteristics of practices. We are ask ing practice administrato rs to fill out this instrument. Baseline is at the time of enrollment. ii. We will collect common EMR metrics for all practices from the networks’ central offices. 4. Description of all data elements of interest: Study variables, including validated measures important to patients and families, are listed in Tables 1 3 and 1 4. We will also request utilization and prescription -fill data from claims from insurers. C. Subsequent measures: source and description 1. Table 1 3 gives details on how instruments used at baselin e will be followed up. 2. Each patient receives two years of intervention and variable periods of post-intervention monitoring for sustainment of outcomes through year 4 and the first two quarters of year 5. In order to minimize data collection burden on patients and providers, sustainability (post- intervention) measurements will be limited to EMR extraction and claims data analyses only. 3. To correctly assess and report on participants’ death across both study arms, we will be applying for National Death Index (NDI) data from the Centers for Disease Control and Prevention (CDC). We will request cause of death but we will not perform follow-back investigations, in other words, we"
60,page_60,"JHU Protocol | 10.15.21 60 will not contact participants’ next-of- kin. We will summarize (aggregate) data and compare across intervention arms in both reports (to PCORI and the Data and Safety Monitoring Board) and as a peer reviewed scientific journal article. The NDI data will be used to identify deaths in study participants who are lost to follow -up. Based on the requirements of the CDC’s National Death Index process, we will transmit participant data using the CDC’s sFTP site and upload a password protected WinZip file. The password will be communicated to the appropriate person through email. The study biostatistician, Kathryn Carson will prepare the file and upload it. Per the CDC’s guidelines, we will include participant first and last name and month and year of birth on approximately 588 participants. It will be all participants who have not yet completed their 24 month follow-up. For those that we already know are deceased, we want to confirm their dates of death. National Death Index data would be stored in the Johns Hopkins Enterprise data center. We will destroy NDI data by September 2023 in accorda nce to CDC requirements. We will submit the required data disposition form to the CDC by September 2023. 4. Follow-up interviews are conducted by study staff by phone. In cases where a patient cannot complete follow-up interviews due to limited phone minutes , we will mail a paper version of follow - up interviews with a return envelope. Table 1 3: Study Measures (Patient) Baseline Follow -Up Patient -Level Variables Sources Biomedical/Clinical Outcomes* Systolic and diastolic BP, BP control (<140/90)28,131 EMR EMR Hyperlipidemia control132 Glycemic control133 Global Framingham Risk Score134 Chronic Kidney Disease (Estimated Gl omerular Filtration Rate or eGFR) Urine microalbumin (per National Kidney Foundation K/DOQI clinical practice guidelines 2000) National Death Index Data CDC Patient -Reported Outcomes PROMIS Global Scale Telephone Interview Telephone Interview Patient activation (Patient Activation Measure, PAM -13)139,140 Medication adherence (Medication Adherence Scale, 4 -item)137 Physical Activity (The Framingham Heart Study (FHS). Physical Activity Questionnaire) Fruit and Vegetable Intake (Diabetes S elf-care Activities Measure) Tobacco or cigarette use (National Health Interview Survey)141 Stroke -free status (Questionnaire for Verifying Stroke -Free Status) Hypertension Knowledge, Attitudes and Perceptions Patient Health Questionnaire Depre ssion (PHQ -8) Perceived Stress Scale Adverse Events (patient reported) Social Network Analysis (SNA) N/A Patient attainment of self -defined goals (e.g., BP, weight, diet, exercise, medication adherence)+ N/A Patient -Reported Experiences of Car e Resource Use (Chronic Illness Resources Survey)138 Telephone Interview Telephone Interview Patient Assessment of Care for Chronic Conditions (PACIC -Plus) AHRQ Care Coordination Quality Measure for Primary Care (CCQM -PC) CAHPS Items from Health Li teracy Subset Satisfaction and Trust CollaboRATE N/A Perceived usefulness of CHW (CHW Evaluation Questionnaire)107 N/A Biomedical Covariates"
61,page_61,"JHU Protocol | 10.15.21 61 D. System -Level Leadership measures Table 14: Provider Measures Body mass index EMR EMR Healthcare and Prescription Drug Utilization Healthcare insurance status Telep hone Interview Telephone Interview Hospitalizations, ED use, 30 -day Readmissions Claims Claims Prescription refills and medication possession ratios for relevant medications Social and Demographic Measures Age, Gender, Ethnicity/Race, Primary Languag e, Employment, Insurance, Income, Wealth, Disability*141,148 Telephone Interview Telephone Interview Health Literacy (CHEW) N/A Subjective Numeracy (Three -Item Subjective Numeracy Scale) Life Events Everyday Discrimination Community Stressors: Violence Community Stressors: Total Victimization Community Stressors: Disorder Adverse Childhood Experience (ACE) Questionnaire Emotional support (PROMIS Social Functioning Scale)149 N/A Telephone Interview Informational support (PROMIS Soci al Functioning Scale)149 Instrumental support (PROMIS Social Functioning Scale)149 Family composition and spillover Abbreviations: CHW, Community Health Worker ; PHQ, Patient Health Questionnaire . *Collected at baseline only +Collected for patient s in CC/Stepped Care only Table 13: Study Measures (Provider, Practice, and System Levels) Baseline Follow -Up Provider and Staff Level Variables Sources Age, Gender, Race/Ethnicity, Education, Professional Role, Years of Experience Online Survey Online Survey Cultural competence, Patient -centeredness (PPOS)152,153 Perceptions of practice quality improvement capacity,154 patient -centeredness,155 cultural competency and barriers to addressing health disparities,156 teamwork157 Provider and staff knowledge assessments Practice Level Variables Number and types of clinicians and staff, practice type (private, FQHC); resources Survey Patient- level outcomes averaged across all patients from the site EMR, Interview EMR Telephone System -Level Variables System values, priorities, and capacity for change, leader attitudes Survey, In-person interviews Survey , In-person interviews"
62,page_62,"JHU Protocol | 10.15.21 62 Variable type Items Measurement t ool Platform All participating providers and staff, including leaders, who receive support from the grant Age, gender, race/ethnicity, education, professional role, years of experience N/A (Socio -demographic information) Self- Administered Online or paper survey Assessment of cultural competence and patient -centeredness 10-item instrument assessing provider satisfaction Perceptions of organizational cultural competency and barriers to addressing health disparities 12 quality measures focused on healthc are disparities and culturally competent care for racial and ethnic minority populations endorsed by the National Quality Forum Perceptions of teamwork Items from a framework of validated teamwork measures All participating providers and staff, including leaders, supported by the grant Pre-post training knowledge assessments Team -developed items, in brief surveys conducted immediately before and after training modules (App. 13) Online Practice champions Perceptions of system -level management New short form to be developed by researchers Online System -Level System values, priorities Interview to be developed by researchers Interview and Online survey Leaders’ report of motivation, attitude toward health equity, and knowledge of quality improvement methods New items to be developed by researchers 1. We collect ed a system -level leadership interview at baseline to determine strategic priorities and readiness for change of all participating systems. We are collect ing baseline and post inter vention survey data from leaders to determine the effect of the system -level intervention over time on their attitudes and behaviors. We are also collect ing a 3 to 5 item survey semi -annually during their intervention period from practice -level leadership regarding their impressions of system -level management and organizational commitment to health equity. Baseline for this mini- assessment is collected upon practice uptake of the intervention. 2. The variables and instruments for measurement are listed in Tabl e 14. (Note: Patient- level variables such as biomedical/clinical outcomes and self -reported outcomes that are collected during the study will be triangulated with the measures below.) 3. We also use a ten -question post -webinar evaluation to assess participant ’s views of the educational content and interactive learning activities. E. Measurement timeline. Patient data is collected annually by phone or in- practice. Provider/staff level data is collected at baseline and post- intervention (from only participating clinicians and staff supported by the grant) via online platforms . A leadership collaborative learning network survey to collect system- level data is administered at baseline and after the intervention period is complete. Baseline is defined as the beginning of enrollment into the study. F. Data collection intervals a. Survey data is collected for the SCP and CC/Stepped Care patient groups at enrollment and at 12 and 24 months. b. EMR data is collected at 6 -month intervals."
