short_name,long_name
SCI-FI,Spinal Cord Injury - Functional Index
NIH Toolbox 9-Hole Pegboard Dexterity Test,NIH Toolbox 9-Hole Pegboard Dexterity Test
NIH Toolbox - Motor - Dexterity,NIH Toolbox -  Motor - Dexterity
NIH Toolbox - Motor - Strength,NIH Toolbox - Motor - Strength
TBI-QOL SF,Traumatic Brain Injury – Quality of Life Short form
SCI-QOL SF,Spinal Cord Injury – Quality of Life Short form
PROMIS-GH,Patient-Reported Outcomes Measurement Information System - Global Health (Adul...
Pediatric Neuro-QOL,Pediatric version of the Quality of Life in Neurological Disorders
Pediatric Neuro-QOL SF,Pediatric version of the Quality of Life in Neurological Disorder...
S-CGI,Sheehan-Clinical Global Improvement Scale
S-HTS,Sheehan-Homicidality Tracking Scale
S-PGI,Sheehan-Patient Global Improvement Scale
SPS,Sheehan-Panic Disorder Scale
PR-SMFIS,Patient-Reported Submental Fat Impact Scale
URAM Scale,Unité Rhumatologique des Affections de la Main Scale
CTCL-QoL,Mycosis Fungoides / Sezary Syndrome - Cutaneous T-cell lymphoma Quality of life
HDQLIFE,Huntington's Disease health-related Quality of LIFE
LDI/DSS,Leeds Dactylitis Index / Dactylitis Score Sheet
RSS,Rickets Severity Score
RGI-C,Radiographic Global Impression of Change
SWN-S,Subjective Well-being under Neuroleptic treatment - Short Form
OABSS,Overactive Bladder Symptom Score
ICIQ-MLUTS,ICIQ-Male Lower Urinary Tract Symptoms (Short form)
ICIQ-MLUTS LF,ICIQ-Male Lower Urinary Tract Symptoms (Long form)
ICIQ-MLUTSsex,ICIQ-Male Sexual Matters associated with Lower Urinary Tract Symptoms
ICIQ-LUTSqol,ICIQ-Lower Urinary Tract Symptoms Quality of Life
ICIQ- FLUTSsex,ICIQ-Female Sexual Matters associated with Lower Urinary Tract Symptoms
UDI,Urogenital Distress Inventory
ASCQ-Me®,Adult Sickle Cell Quality of Life Measurement Information System®
ASCQ-Me SF®,Adult Sickle Cell Quality of Life Measurement Information System Short Form®
EORTC QLQ-CR38,EORTC Quality of Life Questionnaire - Colorectal Cancer Module
PROMIS PF10,PROMIS Physical Function 10
MDASI-AML/MDS,M.D. Anderson Symptom Inventory - Acute Myeloid Leukemia / Myelodysplastic...
SAPS for PDP,Scale for Assessment of Positive Symptoms for Parkinson's disease psychosis
DVSS,Dysfunctional Voiding Scoring System
ISI-P,Incontinence Symptom Index-Pediatric
ITSEA,Infant Toddler Social Emotional Assessment
BITSEA,Brief Infant Toddler Social Emotional Assessment
NHQ,Noctural Hypokinesia Questionnaire
SOWS-Gossop,Short Opiate Withdrawal Scale-Gossop
CDSD 2.1©,Celiac Disease Symptom Diary ©
ICDSQ©,Impact of Celiac Disease Symptoms Questionnaire©
IGFDQ©,Impact of a Gluten-Free Diet Questionnaire
SQLS R4,Schizophrenia Quality of Life Scale Revision 4
MPFID,Migraine Physical Function Impact Diary
DAS / DAS-28 CRP,Disease Activity Score - C-Reactive Protein
GIQLI-10,Gastrointestinal Quality of Life index - 10 items
GPSS,Genital Psoriasis Symptoms Scale
GenPs-SFQ,Genital Psoriasis Sexual Frequency Questionnaire
CHEQOL,Health Related Quality of Life in Children with Epilepsy - Child self-report scal...
SPARCC MRI Index,Spondyloarthritis Research Consortium of Canada Magnetic Resonance Imag...
PGH-7 Parent-Proxy Form,PROMIS - Pediatric Global Health Parent-Proxy Form
IBM-FRS,Inclusion Body Myositis - Functional Rating Scale
PROMIS Pediatric Profile-25 v2.0,Patient-Reported Outcomes Measurement Information Syste...
PROMIS Pediatric Profile-37 v2.0,Patient-Reported Outcomes Measurement Information Syste...
PROMIS Pediatric Profile-49 v2.0,Patient-Reported Outcomes Measurement Information Syste...
QPCQ,Quality of Prenatal Care Questionnaire
HDQ,HIV Disability Questionnaire
RAPID3,Routine Assessment of Patient Index Data 3
SOTS,Symptoms of Trauma Scale
FACIT-Fatigue,Functional Assessment of Chronic Illness Therapy - Fatigue Scale
AML-QOL,Quality of Life in Acute Myeloid Leukemia
ASK-20,Adherence Starts with Knowledge 20
PROMIS SexFS v2.0 Full Profile (Male),Patient-Reported Outcomes Measurement Information ...
IBSQoL,Irritable Bowel Syndrome Quality of Life Questionnaire
PROMIS SexFS v2.0 Brief Profile (Male),Patient-Reported Outcomes Measurement Information...
MEI-SF,Motivation and Energy Inventory-Short Form
PPMQ-R,Patient Perception of Migraine Questionnaire-Revised
SNS,Self-evaluation of Negative Symptom
PROMIS SexFS v2.0 Brief Profile (Female),Patient-Reported Outcomes Measurement Informati...
PROMIS SexFS v2.0 Full Profile (Female),Patient-Reported Outcomes Measurement Informatio...
QUALMS,Quality of Life in Myelodysplasia Scale
RPC-Scale,Rating of Perceived Capacity
SCI-SR,Structured Clinical Interview for Symptoms of Remission
MAQ-PC,Multimorbidity Assessment Questionnaire for Primary Care
MRI-AQ,Magnetic Resonance Imaging-Anxiety Questionnaire
DPQ,Dallas Pain Questionnaire
CEA,Clinician's Erythema Assessment
BIRS,Body Image and Relationships Scale
CSS-21,21-item Challenges to Stopping Smoking
PAM-D,Perceptions About Medications for Diabetes
CU-Q2oL,Chronic Urticaria Quality of Life questionnaire
JCS,Jackson Cold Scale
FACT-G7,Functional Assessment of Cancer Therapy - General (7-item version)
FACT-GP,Functional Assessment of Cancer Therapy - General Population
FANLTC,Functional Assessment of Non-Life Threatening Conditions
FACT-Br,Functional Assessment Of Cancer Therapy - Brain
FACT-HN,Functional Assessment of Cancer Therapy - Head &amp; Neck cancer
FHSI,Functional Assessment of Cancer Therapy - Hepatobiliary Symptom Index
FACT-V,Functional Assessment of Cancer Therapy - Vulva cancer
FACT-MM,Functional Assessment of Cancer Therapy - Multiple Myeloma
ICIQ-OABqol,International Consultation on Incontinence Questionnaire Overactive Bladder ...
ICIQ-B,International Consultation on Incontinence Questionnaire Anal Incontinence Sympto...
ICIQ-IBD,International Consultation on Incontinence Questionnaire Inflammatory Bowel Dis...
DSMQ-R,Diabetes Self-Management Questionnaire - Revised
QOLIBRI-OS,Quality of Life after Brain Injury - Overall Scale
RLS-6,Restless Legs Syndrome - 6 Rating Scales
GFI,Generic Functional Index
IOT,Incontinence Outcome Tool
TOT,Tinnitus Outcome Tool
CH-RLSq13,Cambridge - Hopkins Restless Legs Syndrome Short Form 2 DIAGNOSTIC QUESTIONNAI...
CHRT-SR12,Concise Health Risk Tracking Self-Report scale - 12 item self-report
NSC,Nurse Stress Checklist
Brief COPE,Brief COPE
SCQ,Self-Administered Comorbidity Measure Questionnaire
CUXOS-D,Clinically Useful Anxiety Outcome Scale - Daily version
ASCQ-Me® - Cognitive Impact,Adult Sickle Cell Quality of Life Measurement Information Sy...
ASCQ-Me® - Emotional Impact,Adult Sickle Cell Quality of Life Measurement Information Sy...
ASCQ-Me® - Pain,Adult Sickle Cell Quality of Life Measurement Information System® - Pain
ASCQ-Me® - Sleep Impact,Adult Sickle Cell Quality of Life Measurement Information System...
ASCQ-Me® - Social Functioning Impact,Adult Sickle Cell Quality of Life Measurement Infor...
ASCQ-Me® - Stiffness Impact,Adult Sickle Cell Quality of Life Measurement Information Sy...
ASCQ-Me SF® - Emotional Impact,Adult Sickle Cell Quality of Life Measurement Information...
ASCQ-Me SF® - Pain Impact,Adult Sickle Cell Quality of Life Measurement Information Syst...
ASCQ-Me SF® - Pain Episodes,Adult Sickle Cell Quality of Life Measurement Information Sy...
ASCQ-Me SF® - Sleep Impact,Adult Sickle Cell Quality of Life Measurement Information Sys...
ASCQ-Me SF® - Social Functioning Impact,Adult Sickle Cell Quality of Life Measurement In...
ASCQ-Me SF® - Stiffness Impact,Adult Sickle Cell Quality of Life Measurement Information...
KDQOL-36™ Survey,Kidney Disease Quality of Life instrument™ - 36 items
SCD-MHC,Sickle Cell Disease Medical History Checklist
ICIQ-Bladder Diary,International Consultation on Incontinence Questionnaire Bladder Diar...
ICIQ-PadPROM,International Consultation on Incontinence Questionnaire Absorbent Pads
PAM-D21,Perceptions About Medications for Diabetes  - 21 items
ICIQ-CLUTS,International Consultation on Incontinence Questionnaire Paediatric Lower Uri...
ICIQ-FLUTS LF,International Consultation on Incontinence Questionnaire-Female Lower Urin...
C-CAP2,Cardiff Cardiac Ablation PROM - Post-ablation
OPQOL-Brief,Older People's Quality of Life - Brief version
BYI-2™,Beck Youth Inventories™ - Second Edition
CCBS,Child's Challenging Behaviour Scale
ALSFRS-R,Amyotrophic Lateral Sclerosis Functional Rating Scale - Revised version
HS-FOCUS Parent version,Hunter Syndrome-Functional Outcomes for Clinical Understanding S...
FBlSI,Functional Assessment of Cancer Therapy - Bladder Symptom Index
NFBrSI-24,National Comprehensive Cancer Network-Functional Assessment of Cancer Therapy ...
NFHNSI-22,National Comprehensive Cancer Network-Functional Assessment of Cancer Therapy ...
OAB-q SF (4-week recall),OverActive Bladder questionnaire - Short-form (4-week recall)
OAB-SAT-q,OverActive Bladder Satisfaction with Treatment Questionnaire
OAB-V3,OverActive Bladder Awareness Tool - 3-item
OAB-V8,OverActive Bladder Awareness Tool - 8-item
10 MWT,10 Meter Walk Test
OAB-FIM,OverActive Bladder - Family Impact Measure
OAB-q (1-week recall),OverActive Bladder questionnaire (1-week recall)
UGDS-M,Utrecht Gender Dysphoria Scale - Male version
KRLS-QOL,Kohnen Restless Legs Syndrome - Quality of Life Questionnaire
FLSI-12,Functional Assessment of Cancer Therapy - Lung Symptom Index
On-The-Road Driving Test,On-The-Road Driving Test
FM-PBC,Family Member Perception of Bladder Condition
FACT-LCS,Functional Assessment of Cancer Therapy - Lung Cancer Subscale
FACT-PSI,Functional Assessment of Cancer Therapy - Pulmonary Symptom Index
Shortened HS-FOCUS - Parent version,Hunter Syndrome-Functional Outcomes for Clinical Und...
RDQ,Remission for Depression Questionnaire
SF-CSHQ,Children's Sleep Habits Questionnaire - Short-Form
BSS®,Beck Scale for Suicide Ideation®
BHS®,Beck Hopelessness Scale®
CBOCI®,Clark-Beck Obsessive-Compulsive Inventory®
CASI-S,Cognitive Abilities Screening Instrument - Short version
CGI-SCH,Clinical Global Impression - Schizophrenia scale
NFLSI-17,National Comprehensive Cancer Network-Functional Assessment of Cancer Therapy -...
MD-CRS (4-18),Movement Disorder - Childhood Rating Scale (4-18 yrs)
MD-CRS  R (4-18),Movement Disorder - Childhood Rating Scale Revised (4-18 yrs)
NIH TOORT Age 3+ v2.0,NIH Toolbox - Oral Reading Recognition Test Age 3+ v2.0
SIBAT,Suicide Ideation and Behavior Assessment Tool
PSS,Psoriasis Symptom Scale
ADCS-ADL MCI24,Alzheimer's Disease Cooperative Study-Activities of Daily Living - Mild C...
"AM-PAC ""6-Clicks"" Basic mobility form","Activity Measure for Post Acute Care ""6-Clicks"" Ba..."
IHSS,Idiopathic Hypersomnia Severity Scale
BAT,Bladder Assessment Tool
A-IADL-Q-SV,Amsterdam Instrumental Activity of Daily Living Questionnaire - Short versio...
IBS-D daily symptom diary and event log,Irritable bowel syndrome-diarrhea daily symptom ...
PP-NRS,Peak Pruritus Numerical Rating Scale
NPI-Q,Neuropsychiatric Inventory Questionnaire
NPI-C,Neuropsychiatric Inventory - Clinician Rating Scale
Berlin Questionnaire,Berlin Questionnaire
FOSI,Functional Assessment of Cancer Therapy - Ovarian Symptom Index
FPSI-7,Functional Assessment of Cancer Therapy - Prostate Symptom Index
NFPSI-17,National Comprehensive Cancer Network Functional Assessment of Cancer Therapy -...
NPI-NH,Neuropsychiatric Inventory - Nurse Home version
FACIT-TS-BTCSQ,Functional Assessment of Chronic Illness Therapy - Bone Treatment Conveni...
GME-Q,Glucose Monitoring Experiences Questionnaire
QoL-Q Diabetes,Diabetes Quality of Life Questionnaire
DSAS-1,Type 1 Diabetes Stigma Assessment Scale
DSAS-2,Type 2  Diabetes Stigma Assessment Scale
ITQOL-SF47,Infant and Toddler Quality of Life Questionnaire-Short Form
MFM-32,Motor Function Measure - 32 items
NPI-12,Neuropsychiatric Inventory - 12-item version
A-FICSI,Adolescent Fecal Incontinence and Constipation Symptom Index
FIC QOL,Fecal Incontinence and Constipation Quality of Life
DRRI,Deployment Risk and Resilience Inventory
WPAI:Muscle,Work Productivity and Activity Impairment Questionnaire: Muscle disease 2.0
WPAI+CIQ:Asthma,Work Productivity and Activity Impairment Questionnaire plus Classroom I...
WPAI:Migraine,Work Productivity and Activity Impairment Questionnaire: Migraine
ETI,Early Trauma Inventory
WPAI:DNP,Work Productivity and Activity Impairment Questionnaire: Leg and Foot Pain
WPAI:FMS,"Work Productivity and Activity Impairment Questionnaire: Fibromyalgia symptoms,..."
PROBE,"Patient Reported Outcomes, Burdens and Experiences"
HAL,Hemophilia Activities List
PedHAL,Paediatric Haemophilia Activities List
SAQ,Severe Asthma Questionnaire
BENS Score,Bowel Endometriosis Syndrome Score
CES,Combat Exposure Scale
advSM-SAF,Advanced Systemic Mastocytosis Symptom Assessment Form
JADAS-71,Juvenile Arthritis Disease Activity Score
emPHasis-10,emPHasis-10
WPAI:OA-Knee or Hip,Work Productivity and Activity Impairment Questionnaire: Osteoarthri...
WPAI:OA-Knee,Work Productivity and Activity Impairment Questionnaire: Osteoarthritis of ...
WPAI:DD,"Work Productivity and Activity Impairment Questionnaire: Daily Drowsiness, Versi..."
WPAI:HC v2,"Work Productivity and Activity Impairment Questionnaire: Heart Condition, Ver..."
RGEI,Revised Grief Experience Inventory
QOLIBRI,Quality of Life after Brain Injury
WPAI:UC-CG,"Work Productivity and Activity Impairment Questionnaire: Ulcerative Colitis, ..."
WPAI:D,"Work Productivity and Activity Impairment Questionnaire: Depression, Version 2"
WPAI:Hypoparathyroidism,Work Productivity and Activity Impairment Questionnaire: Hypopar...
"WPAI:Hypoparathyroidism, Interviewer Version",Work Productivity and Activity Impairment Q...
SUPPH-29,Strategies Used by People to Promote Health
CAPS-CA-5,Clinician-Administered PTSD Scale for DSM-5 - Child/Adolescent Version
CUDOS-D,Clinically Useful Depression Outcome Scale - Daily version
CUDOS-A,Clinically Useful Depression Outcome Scale supplemented with questions for the D...
GIDYQ-AA,Gender Identity/Gender DYsphoria Questionnaire for Adolescents and Adults
ADHD-RS-IV - Home version,Attention-Deficit Hyperactivity Disorder Rating Scale-IV - Hom...
WPAI:CC,"Work Productivity and Activity Impairment Questionnaire: Chronic Constipation, V..."
UGDS-F,Utrecht Gender Dysphoria Scale - Female version
GPSQ,Gender Preoccupation and Stability Questionnaire
QLQ-AA/PNH,Quality of Life Questionnaire for patients with Aplastic Anemia and/or Paroxy...
HS-FOCUS Patient version,Hunter Syndrome-Functional Outcomes for Clinical Understanding ...
Shortened HS-FOCUS - Patient version,Hunter Syndrome-Functional Outcomes for Clinical Un...
ITP-PAQ,Immune Thrombocytopenic Purpura Patient Assessment Questionnaire
ITP-QoL,Quality of Life questionnaire for children &amp; adolescents with Idiopathic Thrombo...
MPSAS,Mesenteric Panniculitis Subjective Assessment Score
BARC,Bleeding Academic Research Consortium Scale
DSI,Disability Severity Index
nOH-ADL,Neurogenic Orthostatic Hypotension Activities of Daily Living
PADL-ALS,Patient Activity of Daily Living scale for patients with Amyotrophic Lateral Sc...
PESaM,Patient Experiences and Satisfaction with Medications
QoL-PCD,Quality of Life instrument for Primary Ciliary Dyskinesia
DRRI-2 - Prior Stressors,Deployment Risk &amp; Resilience Inventory-2 - Prior Stressors
DRRI-2 - Childhood Family Functioning,Deployment Risk &amp; Resilience Inventory-2 - Childho...
DRRI-2 -  Difficult Living and Working Environment,Deployment Risk &amp; Resilience Inventor...
DRRI-2 - Combat Experiences,Deployment Risk &amp; Resilience Inventory-2 - Combat Experience...
DRRI-2 - Aftermath of Battle,Deployment Risk &amp; Resilience Inventory-2 - Aftermath of Bat...
DRRI-2 - NBC Exposures,Deployment Risk &amp; Resilience Inventory-2 - NBC Exposures
DRRI-2 - Perceived Threat,Deployment Risk &amp; Resilience Inventory-2 - Perceived Threat
DRRI-2 - Preparedness,Deployment Risk &amp; Resilience Inventory-2 - Preparedness
DRRI-2 - Deployment Support from Family and Friends,Deployment Risk &amp; Resilience Invento...
DRRI-2 - Unit Social Support,Deployment Risk &amp; Resilience Inventory-2 - Unit Social Supp...
DRRI-2 - General Harassment,Deployment Risk &amp; Resilience Inventory-2 - General Harassmen...
DRRI-2 - Concerns about Life and Family Disruptions,Deployment Risk &amp; Resilience Invento...
DRRI-2 - Family Stressors,Deployment Risk &amp; Resilience Inventory-2 - Family Stressors
DRRI-2 - Postdeployment Stressors,Deployment Risk &amp; Resilience Inventory-2 - Postdeploym...
DRRI-2 - Postdeployment Social Support,Deployment Risk &amp; Resilience Inventory-2 - Postde...
DRRI-2 - Postdeployment Family Functioning,Deployment Risk &amp; Resilience Inventory-2 - Po...
CANTAB-Core Cognition,Cambridge Neuropsychological Test Automated Battery - Core Cogniti...
CANTAB-Cognitive safety,Cambridge Neuropsychological Test Automated Battery - Cognitive ...
SCORMA,SCORing MAstocytosis Index
ICARS,International Cooperative Ataxia Rating Scale
SARA,Scale for the Assessment and Rating of Ataxia
MRC Scale,Medical Research Council Prion Disease Rating Scale
UBDRS,Unified Batten Disease Rating Scale
mJOA,modified Japanese Orthopaedic Association scale
MSSS,Multiple Sclerosis Severity Score
MMASA,Modified Mann Assessment of Swallowing Ability
MSFC,Multiple Sclerosis Functional Composite
DRRI-2 - Sexual Harassment,Deployment Risk &amp; Resilience Inventory-2 - Sexual Harassment
EQ-5D-5L,EuroQoL 5-Dimension 5-Level
ARMLQ,Age-Related Muscle Loss Questionnaire
SarQoL®,Sarcopenia-specific Quality of Life questionnaire®
ICIQ-VS,International Consultation on Incontinence Questionnaire Vaginal Symptoms Module
ICIQ-N,International Consultation on Incontinence Questionnaire Nocturia Module
ICIQ-OAB,International Consultation on Incontinence Questionnaire Overactive Bladder Mod...
ICIQ-UAB,International Consultation on Incontinence Questionnaire Under Active Bladder
CUXOS,Clinically Useful anXiety Outcome Scale
CUSADOS,Clinically Useful Social Anxiety Disorder Outcome Scale
ADCT,Atopic Dermatitis Control Tool
ICIQ-LTCqol,International Consultation on Incontinence Long-Term Indwelling Catheter Use...
ICIQ-Nqol,International Consultation on Incontinence Questionnaire Nocturia Quality of L...
PBI-AS,Patient Benefit Index - Aged skin
PBI-HE,Patient Benefit Index - Chronic Hand Eczema
ItchyQoL - Bother version,ItchyQoL - Bother version
PBI-W,Patient Benefit Index - Chronic Wounds
PBI-UAW,"Patient Benefit Index - Chronic Wounds, special version for evaluation of Ultras..."
PBI-K,Patient Benefit Index - Cosmetic indications
PBI-L,Patient Benefit Index - Lymphedema
PBI-MS,Patient Benefit Index - Multiple Sclerosis
PBI-POD,Patient Benefit Index - Peripheral artery Occlusive Disease
HFMS,Hammersmith Functional Motor Scale
MHFMS,Modified Hammersmith Functional Motor Scale
HFMSE,Hammersmith Functional Motor Scale Expanded
RSAT,Rothschild Scale for Antidepressant Tachyphylaxis
POSAS,Patient and Observer Scar Assessment Scale
P-FIBS,"Pain Frequency, Intensity, and Burden Scale"
Wound-QoL,Wound-QoL questionnaire
STOP-Bang questionnaire,"Snoring, Tiredness during daytime, Observed apnea, and high bloo..."
NTSS-6,Neuropathy Total Symptom Score - 6-items
PACS,Penn Alcohol Craving Scale
RLCST,Recent Life Change Stress Test
RBANS,Repeatable Battery for the Assessment of Neuropsychological Status
MDHAQ,MultiDimensional Health Assessment Questionnaire
CLDQ-HCV,Chronic Liver Disease Questionnaire - Hepatitis C Version
SCS,Site of Care Satisfaction
TCNS,Toronto Clinical Neuropathy Score
mTCNS,modified Toronto Clinical Neuropathy Score
Peds FACIT-F,Pediatric Functional Assessment of Chronic Illness Therapy - Fatigue
Peds FAACT,Pediatric Functional Assessment of Anorexia Cachexia
FAHI,Functional Assessment of Human Immunodeficiency Virus Infection
TSD-OC,SIO Obesity-Related Disability Test
FACIT-TS-PS,Functional Assessment of Chronic Illness Therapy - Treatment Satisfaction - ...
FACT-VCI / FACT-Bl-Cys,Functional Assessment of Cancer Therapy - Vanderbilt Cystectomy I...
FACT-B + 4,Functional Assessment of Cancer Therapy - Breast Cancer + Arm subscale
FACT-N,Functional Assessment of Cancer Therapy-Neutropenia
FACT-Th18,Functional Assessment of Cancer Therapy - Thrombocytopenia (18-item version)
PRAI,Patient-Reported Arthralgia Inventory
COST,COmprehensive Score for financial Toxicity
SFI,SELENA-SLEDAI Flare Index
JADAS-10,Juvenile Arthritis Disease Activity Score
JADAS-27,Juvenile Arthritis Disease Activity Score
SLEDAI-2K 30 days,Systemic Lupus Erythematosus Disease Activity Index 2000 30 days
CAMPHOR Utility Index,Cambridge Pulmonary Hypertension Outcome Review Utility Index
HDSS,Hyperhidrosis Disease Severity Scale
PROMIS Bank v1.0 Sleep Disturbance,Patient-Reported Outcomes Information System Bank v1....
PROMIS Bank v1.0 SRI,Patient-Reported Outcomes Information System Bank v1.0 Sleep-Relate...
PROMIS Short Form v1.0 Sleep Disturbance 8a,Patient-Reported Outcomes Information System...
PROMIS Short Form v1.0 Sleep-Related Impairment 4a,Patient-Reported Outcomes Information...
PROMIS Pediatric Bank v1.0 Sleep Disturbance,Patient-Reported Outcomes Information Syste...
PROMIS Pediatric Bank v1.0 SRI,Patient-Reported Outcomes Information System Pediatric Ba...
PROMIS Pediatric SF8 v1.0 Sleep Disturbance,Patient-Reported Outcomes Information System...
PROMIS Pediatric SF4 v1.0 Sleep Disturbance,Patient-Reported Outcomes Information System...
PROMIS Pediatric SF8 v1.0 SRI,Patient-Reported Outcomes Information System Pediatric Sho...
PROMIS Pediatric SF4 v1.0 SRI,Patient-Reported Outcomes Information System Pediatric Sho...
PROMIS Short Form v1.0 Sleep Disturbance 8b,Patient-Reported Outcomes Information System...
PROMIS Short Form v1.0 Sleep Disturbance 6a,Patient-Reported Outcomes Information System...
PROMIS Short Form v1.0 Sleep Disturbance 4a,Patient-Reported Outcomes Information System...
PROMIS Parent Proxy Bank v1.0 Sleep Disturbance,Patient-Reported Outcomes Information Sy...
FACT-Th11,Functional Assessment of Cancer Therapy - Thrombocytopenia (11-item version)
UMSARS,Unified Multiple System Atrophy Rating Scale
MSA-QoL,Multiple System Atrophy health-related Quality of life scale
CBI,Caregiver Burden Inventory
QDIS-1-item,Quality of Life Disease Impact Scale–1 global impact item
QDIS-7-item scale,Quality of Life Disease Impact Scale–7 item scale
QDIS-CAT,Quality of Life Disease Impact Scale–Computerized Adaptive Testing form
QDIS-MCC,Quality of Life Disease Impact Scale–Multiple Chronic Conditions form
PADQOL,Peripheral Artery Disease Quality of Life Questionnaire
Care-ILI-QoL,QoL of CAREgivers of children with Influenza-Like Illness
SOFA,Sequential Organ Failure Assessment
qSOFA,quick Sequential Organ Failure Assessment
Peds FAACT-10,Pediatric Functional Assessment of Anorexia Cachexia - 10
BFAS,Baylor Functional Assessment Scale
JOA,Japanese Orthopaedic Association Scoring System
MFIQ,Migraine Functional Impact Questionnaire
PASAT 3,Paced Auditory Serial Addition Test 3
"Neuro-QoL Item Bank v1.0 – Upper Extremity Function – Fine Motor, ADL",Quality of Life in...
JOACMEQ,Japanese Orthopaedic Association Cervical Myelopathy Evaluation Questionnaire
NAPPA,Nail Assessment in Psoriasis and Psoriatic Arthritis
PROMIS-Fatigue MS,Patient-Reported Outcomes Measurement Information System-Fatigue Multi...
SPID,Sum of Pain Intensity Differences
SF-NDI,Short Form Nepean Dyspepsia Index
B-SIT,Brief Smell Identification Test
Q-SIT,Quick Smell identification Test
Conners CPT 3,Conners Continunous Performance Test 3rd Edition
S&amp;ST,The Snap and Sniff Threshold Test
PST,The 4-item NHANES Pocket Smell Test
SKINDEX-16 for AA,SKINDEX-16 for Alopecia Areata
UPSIT / SMI,University of Pennsylvania Smell Identification Test / Smell Identification ...
B-SIT Version A,B-SIT (Brief Smell Identification test) Version A
NIH Toolbox - Emotion Control FF Ages 8-17 v2.0,NIH Toolbox - Emotion Control Fixed Form...
NIH Toolbox - Maternal Relationship FF Ages 8-17 v2.0,NIH Toolbox - Maternal Relationshi...
NIH Toolbox - Negative Parent Relationship Parent Report FF Ages 3-12 v2.0,NIH Toolbox -...
NIH Toolbox - Domain-Specific Life Satisfaction Parent Report FF Ages 3-12 v2.0,NIH Tool...
NIH Toolbox - Positive Parent Relationship Parent Report FF Ages 3-12 v2.0,NIH Toolbox -...
NIH Toolbox - Sibling Rejection Parent Report FF Ages 3-12 v2.0,NIH Toolbox - Sibling Re...
WPAI:GERD-SDQ,Work Productivity and Activity Impairment: Gastro-Esophageal Reflux Diseas...
PROMIS Item Bank v1.0 – Substance Use/Alcohol: Alcohol Use,Patient-Reported Outcomes Mea...
WPAI+CIQ:AS,Work Productivity and Activity Impairment Questionnaire plus Classroom Impai...
PSS10,Perceived Stress Scale 10 items
FACT-Cx,Functional Assessment of Cancer Therapy - Cervix
FACT-En,Functional Assessment of Cancer Therapy - Endometrial
NFBISI-18,National Comprehensive Cancer Network Functional Assessment of Cancer Therapy ...
LCQ,Leicester Cough Questionnaire
I-TAQ,Injection Treatment Acceptance Questionnaire
Jarad Score,Jarad and Sequeiros Symptom Score Questionnaire
PROMIS Item Bank v1.0 – Emotional Distress - Anxiety,Patient-Reported Outcomes Measureme...
WPAI:Melanoma,Work Productivity and Activity Impairment Questionnaire: Melanoma
WPAI:Nocturia,Work Productivity and Activity Impairment Questionnaire: Nocturia
NIS,Neuropathy Impairment Score
PROMIS Item Bank v. 1.0 – Emotional Distress - Depression,Patient-Reported Outcomes Meas...
RS™,Resilience Scale™
PROMIS Item Bank v1.1 – Anger,Patient-Reported Outcomes Measurement Information System I...
RS14,Resilience Scale 14-items
PROMIS Item Bank v1.0 – Appeal of Substance Use - Past 3 months,Patient-Reported Outcome...
PROMIS Item Bank v1.0 – Appeal of Substance Use - Past 30 days,Patient-Reported Outcomes...
PROMIS Item Bank v1.0 – Severity of Substance Use – Past 30 days,Patient-Reported Outcom...
PROMIS  Item Bank v1.0 – Severity of Substance Use – Past 3 months,Patient-Reported Outc...
PSS14,Perceived Stress Scale 14 items
PSS4,Perceived Stress Scale 4 items
RS10,Resilience Scale for Children
PROMIS Item Bank v1.0 – Smoking: Coping Expectancies for All Smokers,Patient-Reported Ou...
PROMIS Item Bank v1.0 – Smoking: Coping Expectancies for Daily Smokers,Patient-Reported ...
PROMIS Item Bank v1.0 – Smoking: Coping Expectancies for Nondaily Smokers,Patient-Report...
PROMIS Item Bank v1.0 – Smoking: Emotional and Sensory Expectancies for Daily Smokers,Pa...
PROMIS Item Bank v1.0 – Smoking: Emotional and Sensory Expectancies for Nondaily Smokers,...
PROMIS Item Bank v.1.0 – Smoking:  Emotional and Sensory Expectancies for All Smokers,Pa...
PROMIS Item Bank v1.0 – Smoking: Negative Health Expectancies for Nondaily Smokers,Patie...
PROMIS Item Bank v1.0 – Smoking: Negative Health Expectancies for Daily Smokers,Patient-...
PROMIS Item Bank v1.0 – Smoking: Negative Health Expectancies for All Smokers,Patient-Re...
PROMIS Item Bank v1.0 – Smoking: Nicotine Dependence for All Smokers,Patient-Reported Ou...
PROMIS Item Bank v1.0 – Smoking: Nicotine Dependence for Daily Smokers,Patient-Reported ...
PROMIS Item Bank v1.0 – Smoking: Nicotine Dependence for Nondaily Smokers,Patient-Report...
PROMIS Item Bank v1.0 – Smoking: Negative Psychosocial Expectancies for Daily Smokers,Pa...
PROMIS Item Bank v.1.0 – Smoking:  Social Motivations for All Smokers,Patient-Reported O...
PROMIS Item Bank v1.0 – Smoking: Social Motivations for Daily Smokers,Patient-Reported O...
PROMIS Item Bank v1.0 – Smoking: Social Motivations for Nondaily Smokers,Patient-Reporte...
WPAI:PSO,Work Productivity and Activity Impairment Questionnaire: Psoriasis
Resilience Supports Scale for Youth,Resilience Supports Scale for Youth
Resilience Assessment for Youth,Resilience Assessment for Youth
WPAI:ASTHMA,Work Productivity and Activity Impairment Questionnaire: Asthma
